time,longitude,latitude
2012-08-10 00:00:00,-89.47351753937508,27.986550834659557
2012-08-10 00:15:00,-89.47329263246017,27.985825405782965
2012-08-10 00:30:00,-89.4730441909121,27.98510237105662
2012-08-10 00:45:00,-89.47277144622758,27.984381888473134
2012-08-10 01:00:00,-89.47247363845199,27.98366411066161
2012-08-10 01:15:00,-89.4721500173039,27.982949184488383
2012-08-10 01:30:00,-89.47179984329544,27.982237250669655
2012-08-10 01:45:00,-89.47142238884663,27.981528443396932
2012-08-10 02:00:00,-89.47101693939209,27.980822889976196
2012-08-10 02:15:00,-89.47058279447778,27.980120710481607
2012-08-10 02:30:00,-89.47011926884643,27.979422017424486
2012-08-10 02:45:00,-89.46962569350987,27.978726915438298
2012-08-10 03:00:00,-89.46910141680647,27.97803550098039
2012-08-10 03:15:00,-89.468545805442,27.977347862051136
2012-08-10 03:30:00,-89.46795824551218,27.976664077931108
2012-08-10 03:45:00,-89.46733814350482,27.97598421893683
2012-08-10 04:00:00,-89.46668492728047,27.975308346195675
2012-08-10 04:15:00,-89.46599804702946,27.974636511440437
2012-08-10 04:30:00,-89.46527697620404,27.97396875682398
2012-08-10 04:45:00,-89.464521212424,27.973305114754357
2012-08-10 05:00:00,-89.46373027835413,27.972645607750685
2012-08-10 05:15:00,-89.46290372255167,27.97199024831985
2012-08-10 05:30:00,-89.46204112028201,27.97133903885431
2012-08-10 05:45:00,-89.46114207430148,27.970691971551222
2012-08-10 06:00:00,-89.46020621560538,27.97004902835314
2012-08-10 06:15:00,-89.45923320414012,27.969410180910177
2012-08-10 06:30:00,-89.45822272947778,27.968775390563746
2012-08-10 06:45:00,-89.4571745114521,27.968144608351796
2012-08-10 07:00:00,-89.45608830075463,27.96751777503547
2012-08-10 07:15:00,-89.45496387948998,27.966894821147
2012-08-10 07:30:00,-89.45380106168885,27.966275667058667
2012-08-10 07:45:00,-89.45259969377791,27.96566022307267
2012-08-10 08:00:00,-89.45135965500592,27.96504838953141
2012-08-10 08:15:00,-89.45008085782503,27.9644400569479
2012-08-10 08:30:00,-89.44876324822617,27.963835106155816
2012-08-10 08:45:00,-89.44740680602808,27.963233408478747
2012-08-10 09:00:00,-89.44601154511928,27.962634825918144
2012-08-10 09:15:00,-89.44457751365272,27.962039211359496
2012-08-10 09:30:00,-89.44310479419251,27.961446408796178
2012-08-10 09:45:00,-89.44159350381206,27.96085625357037
2012-08-10 10:00:00,-89.44004379414366,27.96026857263024
2012-08-10 10:15:00,-89.43845585137926,27.95968318480294
2012-08-10 10:30:00,-89.43682989622235,27.959099901082595
2012-08-10 10:45:00,-89.43516618379097,27.958518524932543
2012-08-10 11:00:00,-89.4334650034719,27.957938852601046
2012-08-10 11:15:00,-89.43172667872618,27.95736067344976
2012-08-10 11:30:00,-89.42995156684648,27.956783770294127
2012-08-10 11:45:00,-89.42814005866622,27.956207919754863
2012-08-10 12:00:00,-89.42629257822101,27.955632892619665
2012-08-10 12:15:00,-89.42440958236315,27.955058454214374
2012-08-10 12:30:00,-89.42249156032933,27.954484364782793
2012-08-10 12:45:00,-89.42053903326251,27.953910379874294
2012-08-10 13:00:00,-89.41855255368914,27.953336250738296
2012-08-10 13:15:00,-89.41653270495235,27.95276172472473
2012-08-10 13:30:00,-89.41448010060236,27.952186545689763
2012-08-10 13:45:00,-89.41239538374502,27.951610454405742
2012-08-10 14:00:00,-89.41027922634922,27.951033188974638
2012-08-10 14:15:00,-89.40813232851475,27.950454485243995
2012-08-10 14:30:00,-89.40595541770197,27.949874077224763
2012-08-10 14:45:00,-89.40374924792454,27.949291697510088
2012-08-10 15:00:00,-89.4015145989069,27.948707077694273
2012-08-10 15:15:00,-89.3992522752078,27.94811994879125
2012-08-10 15:30:00,-89.39696310531096,27.947530041651714
2012-08-10 15:45:00,-89.39464794068472,27.946937087378167
2012-08-10 16:00:00,-89.39230765481244,27.946340817737138
2012-08-10 16:15:00,-89.38994314219512,27.945740965567914
2012-08-10 16:30:00,-89.3875553173282,27.945137265187086
2012-08-10 16:45:00,-89.3851451136544,27.944529452788352
2012-08-10 17:00:00,-89.3827134824944,27.94391726683693
2012-08-10 17:15:00,-89.38026139195672,27.94330044845806
2012-08-10 17:30:00,-89.37778982582932,27.94267874181907
2012-08-10 17:45:00,-89.37529978245446,27.942051894504395
2012-08-10 18:00:00,-89.37279227358928,27.941419657883053
2012-08-10 18:15:00,-89.3702683232536,27.94078178746809
2012-08-10 18:30:00,-89.36772896656673,27.940138043267645
2012-08-10 18:45:00,-89.36517524857541,27.939488190127342
2012-08-10 19:00:00,-89.36260822307447,27.938831998063623
2012-08-10 19:15:00,-89.36002895142218,27.93816924258776
2012-08-10 19:30:00,-89.3574385013524,27.93749970502014
2012-08-10 19:45:00,-89.35483794578553,27.936823172794654
2012-08-10 20:00:00,-89.35222836164002,27.936139439753063
2012-08-10 20:15:00,-89.34961082864645,27.935448306428977
2012-08-10 20:30:00,-89.34698642816599,27.934749580321242
2012-08-10 20:45:00,-89.34435624201497,27.934043076156634
2012-08-10 21:00:00,-89.34172135129722,27.933328616141793
2012-08-10 21:15:00,-89.33908283524623,27.932606030204216
2012-08-10 21:30:00,-89.33644177007855,27.931875156222297
2012-08-10 21:45:00,-89.33379922786015,27.931135840244476
2012-08-10 22:00:00,-89.3311562753874,27.93038793669743
2012-08-10 22:15:00,-89.32851397308416,27.929631308583343
2012-08-10 22:30:00,-89.32587337391644,27.928865827666247
2012-08-10 22:45:00,-89.32323552232573,27.92809137464753
2012-08-10 23:00:00,-89.32060145318246,27.927307839330645
