,x,y
0,-87.02600311557401,27.275171910711425
1,-87.01897008552355,27.2909081337023
2,-87.01414774745828,27.30639133211869
3,-87.01147728522821,27.321369368038834
4,-87.01080738482828,27.33566746136611
5,-87.01191803258958,27.34921955913533
6,-87.01335872356415,27.35624672649373
7,-87.01457563078407,27.36204824601022
8,-87.01859675482393,27.37419568939209
9,-87.02047003374628,27.378279783611752
10,-87.02382855829877,27.38573960112269
11,-87.02821401600748,27.393319132062736
12,-87.03016886219858,27.39675799880676
13,-87.03617743896281,27.40532304280408
14,-87.0375601879265,27.407324975539836
15,-87.04422776859708,27.41536105571238
16,-87.04598757182472,27.41750572327473
17,-87.05234195918966,27.424103221176622
18,-87.0554696645861,27.4273664717252
19,-87.06053312033106,27.431962812708214
20,-87.06606223373268,27.436969136858796
21,-87.06882348740467,27.439197397892784
22,-87.07719096584067,27.445853684854534
23,-87.07785754608437,27.446373882307945
24,-87.08556090012266,27.451839370323594
25,-87.09101602779462,27.455605668739842
26,-87.09407866445339,27.457585101345472
27,-87.10265442361793,27.46291469516795
28,-87.10571859286766,27.46474561912895
29,-87.1113335966278,27.46796504862369
30,-87.12010406138825,27.472737129098014
31,-87.12225004936232,27.47384857965649
32,-87.12897581169011,27.477273120936893
33,-87.13792352272179,27.481549649933793
34,-87.14106036548779,27.482963497313946
35,-87.14697242907599,27.48562946055722
36,-87.15607317935947,27.489450859587624
37,-87.1629669858257,27.492145973477324
38,-87.16521967382258,27.49302552626362
39,-87.17439042966863,27.496341107906996
40,-87.18355532307476,27.499373784592972
41,-87.19027869890434,27.501399754430206
42,-87.19268221936672,27.50209796298108
43,-87.20169709194562,27.504432840054076
44,-87.21065232217097,27.50646414078496
45,-87.21953799060755,27.508187786568648
46,-87.22834651447678,27.509598978767794
47,-87.23707306745693,27.510692006261387
48,-87.2457245341194,27.51147073159522
49,-87.25431797212126,27.511946047507436
50,-87.26288288089061,27.512138754649964
51,-87.27145651094501,27.512073608835454
52,-87.28008437768536,27.511780668040902
53,-87.28881378938433,27.51128809694452
